dataset,classifier,repeat,split_seed,n_train,n_test,n_features,n_classes,best_params,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,avg_rrc_size,max_rrc_size,rrc_rc_ratio,elapsed_seconds,status,error
parkinsons,decision_tree,9,2006,156,39,22,2,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",configured_max_depth,10,max_path_features,5.0,avg_path_features,4.0256410256410255,,,,0.002,ok,
parkinsons,random_forest,9,2006,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",n_estimators,300,max_depth,5,,,,,,0.0,ok,
parkinsons,fcalc,9,2006,156,39,22,2,"{""cv_f1"": 0.6968690023426867, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,9,2006,156,39,22,2,"{""cv_f1"": 0.8045399019598912, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 10, ""subsample_size"": 4}",size,440,num_iters,10,,,,,,0.0,ok,
parkinsons,naive_bayes,10,2007,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
parkinsons,xgboost,10,2007,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,200,max_depth,5,,,,,,0.0,ok,
parkinsons,ips_knn,10,2007,156,39,22,2,"{""k"": 1}",avg_rrc_size,3.7435897435897436,max_rrc_size,16.0,,,3.7435897435897436,16.0,0.17016317016317017,1.276,ok,
parkinsons,knn,10,2007,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,10,2007,156,39,22,2,"{""C"": 10, ""penalty"": ""l2"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,10,2007,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,63,size,1451,,,,,,0.002,ok,
parkinsons,decision_tree,10,2007,156,39,22,2,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",configured_max_depth,5,max_path_features,5.0,avg_path_features,3.5384615384615383,,,,0.002,ok,
parkinsons,random_forest,10,2007,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",n_estimators,100,max_depth,10,,,,,,0.0,ok,
parkinsons,fcalc,10,2007,156,39,22,2,"{""cv_f1"": 0.701768995867494, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,10,2007,156,39,22,2,"{""cv_f1"": 0.8285942583252612, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 40, ""subsample_size"": 3}",size,1760,num_iters,40,,,,,,0.0,ok,
sonar,naive_bayes,1,1998,166,42,60,2,"{""var_smoothing"": 1e-09}",size,242,,,,,,,,0.0,ok,
sonar,xgboost,1,1998,166,42,60,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,100,max_depth,3,,,,,,0.001,ok,
sonar,ips_knn,1,1998,166,42,60,2,"{""k"": 1}",avg_rrc_size,4.476190476190476,max_rrc_size,7.0,,,4.476190476190476,7.0,0.0746031746031746,4.503,ok,
sonar,knn,1,1998,166,42,60,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,60,,,,,,,,0.0,ok,
sonar,logistic_regression,1,1998,166,42,60,2,"{""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}",size,61,,,,,,,,0.0,ok,
sonar,svm,1,1998,166,42,60,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,115,size,7017,,,,,,0.002,ok,
sonar,decision_tree,1,1998,166,42,60,2,"{""max_depth"": 5, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",configured_max_depth,5,max_path_features,5.0,avg_path_features,3.880952380952381,,,,0.003,ok,
sonar,random_forest,1,1998,166,42,60,2,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",n_estimators,100,max_depth,10,,,,,,0.0,ok,
sonar,fcalc,1,1998,166,42,60,2,"{""cv_f1"": 0.7213065900332454, ""family"": ""proximity"", ""method"": ""proximity""}",size,9960,,,,,,,,0.0,ok,
sonar,fcalc_rand,1,1998,166,42,60,2,"{""cv_f1"": 0.7984203325664426, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 10, ""subsample_size"": 10}",size,1200,num_iters,10,,,,,,0.0,ok,
sonar,naive_bayes,2,1999,166,42,60,2,"{""var_smoothing"": 1e-09}",size,242,,,,,,,,0.0,ok,
