dataset,method,metric,k,primary_f1_mean,primary_f1_std,primary_f1_ci95,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,weighted_f1_mean,weighted_f1_ci95,retained_mean,retained_ci95,compression_ratio_mean,compression_ratio_ci95,runs,repeat_rows
vehicle,global_topk,support,9,0.3065434808059323,0.0253189305139521,0.0181108134633282,0.3152941176470588,0.0133354181991684,0.3065434808059323,0.0181108134633282,0.3074851901054838,0.0180150347117566,9.0,0.0,0.0133136094674556,0.0,10,10
vehicle,global_topk,support,10,0.3040509791945107,0.031547366792002,0.0225660588196765,0.31,0.0175236219810757,0.3040509791945107,0.0225660588196765,0.3049862508572697,0.022558092451817,10.0,0.0,0.0147928994082839,1.3079815008865127e-18,10,10
vehicle,global_topk,support,12,0.3104355917864906,0.0326834656985212,0.0233787185550678,0.3147058823529411,0.0201549837569325,0.3104355917864906,0.0233787185550678,0.311441968901914,0.0235538911957124,12.0,0.0,0.0177514792899408,0.0,10,10
vehicle,global_topk,support,14,0.3183395337160902,0.0290371579823219,0.0207704883677149,0.3205882352941175,0.019256533156416,0.3183395337160902,0.0207704883677149,0.3194859597206446,0.0212277687042178,14.0,0.0,0.0207100591715976,0.0,10,10
vehicle,global_topk,support,17,0.3326838704867613,0.0259825554263652,0.0185855091457429,0.3329411764705882,0.0185223320181613,0.3326838704867613,0.0185855091457429,0.3337517770741561,0.0189072237900405,17.0,0.0,0.0251479289940827,2.615963001773025e-18,10,10
vehicle,global_topk,support,20,0.3317684313884963,0.0286451546737736,0.0204900855760483,0.3347058823529412,0.0195807058837666,0.3317684313884963,0.0204900855760483,0.332608045975984,0.0206532782799921,20.0,0.0,0.0295857988165679,2.615963001773025e-18,10,10
vehicle,global_topk,support,24,0.3382212557081272,0.0351356667831432,0.0251327956632493,0.3429411764705882,0.0209024264414892,0.3382212557081272,0.0251327956632493,0.3387277228177787,0.0252403959250814,24.0,0.0,0.0355029585798816,0.0,10,10
vehicle,global_topk,support,29,0.3344774863953778,0.0389490762085826,0.0278605549074785,0.3423529411764706,0.0243578018451305,0.3344774863953778,0.0278605549074785,0.3344910171463334,0.028028966690618,29.0,0.0,0.0428994082840236,0.0,10,10
vehicle,global_topk,support,34,0.3243553387652276,0.0421679653815151,0.0301630495305426,0.3405882352941176,0.0278011933975011,0.3243553387652276,0.0301630495305426,0.3233541232476037,0.030422802614149,34.0,0.0,0.0502958579881655,5.2319260035460495e-18,10,10
vehicle,global_topk,support,41,0.3122257214488869,0.0363354694131404,0.02599102313114,0.3347058823529411,0.0223047232573008,0.3122257214488869,0.02599102313114,0.3110841956859434,0.0263444320483324,41.0,0.0,0.0606508875739644,0.0,10,10
