dataset,method,metric,k,primary_f1_mean,primary_f1_std,primary_f1_ci95,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,retained_mean,retained_std,retained_ci95,compression_ratio_mean,compression_ratio_std,compression_ratio_ci95,runs,repeat_rows,source,elapsed_seconds_mean
breast_cancer,global_topk,query_weighted_precision_log_tp,31.0,0.936174248204204,0.0285005903266642,0.0203866776567247,0.942982456140351,0.0242002125105947,0.017310586413228,0.936174248204204,0.0285005903266642,0.0203866776567247,0.9416398045518688,0.0255525164320253,0.0182778991539167,31.0,0.0,0.0,0.0681318681318681,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_weighted_precision_sqrt_tp,31.0,0.936174248204204,0.0285005903266642,0.0203866776567247,0.942982456140351,0.0242002125105947,0.017310586413228,0.936174248204204,0.0285005903266642,0.0203866776567247,0.9416398045518688,0.0255525164320253,0.0182778991539167,31.0,0.0,0.0,0.0681318681318681,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,query_weighted_wracc,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,robustness,50.0,0.9301214017763748,0.0249840545669437,0.0178712742850726,0.937719298245614,0.0212667795859276,0.0152122807017543,0.9301214017763748,0.0249840545669437,0.0178712742850726,0.9361698307884684,0.0224186315026314,0.0160362086788584,50.0,0.0,0.0,0.1098901098901098,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,simplicity_prior,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,stability,50.0,0.9301214017763748,0.0249840545669437,0.0178712742850726,0.937719298245614,0.0212667795859276,0.0152122807017543,0.9301214017763748,0.0249840545669437,0.0178712742850726,0.9361698307884684,0.0224186315026314,0.0160362086788584,50.0,0.0,0.0,0.1098901098901098,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,support,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,supporter_opposer_ratio,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,tn,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,tp,50.0,0.9301214017763748,0.0249840545669437,0.0178712742850726,0.937719298245614,0.0212667795859276,0.0152122807017543,0.9301214017763748,0.0249840545669437,0.0178712742850726,0.9361698307884684,0.0224186315026314,0.0160362086788584,50.0,0.0,0.0,0.1098901098901098,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,wracc,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,youdens_j,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,ips_knn,imported_baseline,,0.9532253375557088,0.0291111316711997,0.0208234022804776,,,,0.9532253375557088,0.0291111316711997,0.0208234022804776,,,,,,,,,,10,10,imported_baseline,30.5774
breast_cancer,knn,imported_baseline,,0.9514031024119586,0.027241007335987,0.0194856888660187,,,,0.9514031024119586,0.027241007335987,0.0194856888660187,,,,,,,,,,10,10,imported_baseline,0.5298
breast_cancer,logistic_regression,imported_baseline,,0.96606488244617,0.0284611466012174,0.0203584632756523,,,,0.96606488244617,0.0284611466012174,0.0203584632756523,,,,,,,,,,10,10,imported_baseline,27.416999999999994
breast_cancer,naive_bayes,imported_baseline,,0.9200589307632022,0.0303760622094977,0.0217282162105351,,,,0.9200589307632022,0.0303760622094977,0.0217282162105351,,,,,,,,,,10,10,imported_baseline,0.0201999999999999
breast_cancer,random_forest,imported_baseline,,0.9504529065488848,0.0285026868794826,0.020388177336065,,,,0.9504529065488848,0.0285026868794826,0.020388177336065,,,,,,,,,,10,10,imported_baseline,7.566200000000002
