dataset,method,metric,best_k,best_primary_f1_mean,best_primary_f1_ci95,best_retained_mean,best_retained_ci95,best_compression_ratio_mean,best_compression_ratio_ci95,smallest_k_within_1pct,primary_f1_within_1pct,smallest_k_within_3pct,primary_f1_within_3pct,smallest_k_within_5pct,primary_f1_within_5pct
parkinsons,global_topk,query_numeric_similarity,4,0.940735522812486,0.0282927918844078,4.0,0.0,0.0256410256410256,0.0,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,query_similarity,4,0.940735522812486,0.0282927918844078,4.0,0.0,0.0256410256410256,0.0,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,query_weighted_log_odds_ratio,5,0.7468082757296468,0.0600743515977341,5.0,0.0,0.032051282051282,0.0,5,0.7468082757296468,5,0.7468082757296468,5,0.7468082757296468
parkinsons,global_topk,query_weighted_log_odds_ratio_log_tp,5,0.7106286806984384,0.0632437530037104,5.0,0.0,0.032051282051282,0.0,5,0.7106286806984384,5,0.7106286806984384,5,0.7106286806984384
parkinsons,global_topk,query_weighted_precision,4,0.940735522812486,0.0282927918844078,4.0,0.0,0.0256410256410256,0.0,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,query_weighted_precision_log_tp,5,0.7357069261690221,0.0643215973474632,5.0,0.0,0.032051282051282,0.0,5,0.7357069261690221,5,0.7357069261690221,5,0.7357069261690221
parkinsons,global_topk,query_weighted_precision_sqrt_tp,12,0.7553458907224228,0.0771671347769879,12.0,0.0,0.0769230769230769,0.0,5,0.7535047056897851,5,0.7535047056897851,5,0.7535047056897851
parkinsons,global_topk,query_weighted_wracc,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,robustness,7,0.7004177518576704,0.0743932826170478,7.0,0.0,0.0448717948717948,5.2319260035460495e-18,7,0.7004177518576704,5,0.6916765461962953,5,0.6916765461962953
parkinsons,global_topk,simplicity_prior,4,0.940735522812486,0.0282927918844078,4.0,0.0,0.0256410256410256,0.0,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,stability,7,0.7004177518576704,0.0743932826170478,7.0,0.0,0.0448717948717948,5.2319260035460495e-18,7,0.7004177518576704,5,0.6916765461962953,5,0.6916765461962953
parkinsons,global_topk,support,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,supporter_opposer_ratio,3,0.9366923690779484,0.030863127039328,3.0,0.0,0.0192307692307691,2.615963001773025e-18,3,0.9366923690779484,1,0.92093647539425,1,0.92093647539425
parkinsons,global_topk,tn,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,tp,7,0.6762763791175074,0.0753805184718979,7.0,0.0,0.0448717948717948,5.2319260035460495e-18,5,0.6712326970544689,5,0.6712326970544689,5,0.6712326970544689
parkinsons,global_topk,wracc,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,global_topk,youdens_j,80,0.4264705882352941,0.0,80.0,0.0,0.5128205128205128,0.0,80,0.4264705882352941,80,0.4264705882352941,80,0.4264705882352941
parkinsons,random_topk,random,1,0.4955590370060804,0.0165059308987707,1.0,0.0,0.0064102564102564,0.0,1,0.4955590370060804,1,0.4955590370060804,1,0.4955590370060804
rice,global_topk,balanced_precision_proxy,2396,0.8850154888915946,0.0052657099336061,2396.0,0.0,0.7860892388451444,0.0,2396,0.8850154888915946,2396,0.8850154888915946,2396,0.8850154888915946
rice,global_topk,chi_squared,2396,0.6366469854301601,0.0179241720754309,2396.0,0.0,0.7860892388451444,0.0,2396,0.6366469854301601,2396,0.6366469854301601,2396,0.6366469854301601
rice,global_topk,delta_stability,19,0.928904036690952,0.005940648860452,19.0,0.0,0.0062335958005249,0.0,6,0.920292985813076,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,description_volume,31,0.9250896024626404,0.0067701370585438,31.0,0.0,0.0101706036745406,0.0,8,0.9163587629816228,3,0.8975922034474646,3,0.8975922034474646
rice,global_topk,error_rate,19,0.9288980950802844,0.0060778173258174,19.0,0.0,0.0062335958005249,0.0,6,0.920292985813076,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,fn,3048,0.3639398998330551,0.0,3048.0,0.0,1.0,0.0,3048,0.3639398998330551,3048,0.3639398998330551,3048,0.3639398998330551
rice,global_topk,fp,19,0.9288980950802844,0.0060778173258174,19.0,0.0,0.0062335958005249,0.0,6,0.920292985813076,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,g_test,2396,0.7123785314485589,0.0167787460652304,2396.0,0.0,0.7860892388451444,0.0,2396,0.7123785314485589,2396,0.7123785314485589,2396,0.7123785314485589
rice,global_topk,gini_gain,2396,0.6366469854301601,0.0179241720754309,2396.0,0.0,0.7860892388451444,0.0,2396,0.6366469854301601,2396,0.6366469854301601,2396,0.6366469854301601
rice,global_topk,information_gain,2396,0.7123785314485589,0.0167787460652304,2396.0,0.0,0.7860892388451444,0.0,2396,0.7123785314485589,2396,0.7123785314485589,2396,0.7123785314485589
rice,global_topk,interval_tightness,19,0.928904036690952,0.005940648860452,19.0,0.0,0.0062335958005249,0.0,7,0.9221654239709858,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,lift,2396,0.9262266925779676,0.0049447873026298,2396.0,0.0,0.7860892388451444,0.0,2396,0.9262266925779676,1883,0.9136882462824004,1480,0.8904901322091618
rice,global_topk,log_odds_ratio,444,0.9249731170447072,0.0053626888016912,444.0,0.0,0.1456692913385826,0.0,1,0.9211574178898044,1,0.9211574178898044,1,0.9211574178898044
rice,global_topk,log_odds_ratio_log_tp,170,0.9241989814159872,0.0057058845075988,170.0,0.0,0.055774278215223,5.2319260035460495e-18,1,0.9219131717922704,1,0.9219131717922704,1,0.9219131717922704
rice,global_topk,matthews_correlation,2396,0.9127992097737468,0.0058522971501913,2396.0,0.0,0.7860892388451444,0.0,2396,0.9127992097737468,1883,0.885523594066421,1480,0.8740830561011963
rice,global_topk,precision,19,0.9288980950802844,0.0060778173258174,19.0,0.0,0.0062335958005249,0.0,6,0.920292985813076,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,precision_log_tp,216,0.6978809598751059,0.0067894053740905,216.0,0.0,0.0708661417322833,1.04638520070921e-17,133,0.6957076837973311,31,0.6779861707315943,3,0.6666108154173144
rice,global_topk,precision_sqrt_tp,2396,0.5582059477403164,0.0122695400365113,2396.0,0.0,0.7860892388451444,0.0,2396,0.5582059477403164,2396,0.5582059477403164,2396,0.5582059477403164
rice,global_topk,query_binary_similarity,19,0.928904036690952,0.005940648860452,19.0,0.0,0.0062335958005249,0.0,6,0.920292985813076,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,query_numeric_similarity,19,0.928904036690952,0.005940648860452,19.0,0.0,0.0062335958005249,0.0,7,0.9221654239709858,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,query_similarity,19,0.928904036690952,0.005940648860452,19.0,0.0,0.0062335958005249,0.0,7,0.9221654239709858,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,query_weighted_log_odds_ratio,274,0.9252859320561578,0.0060155792063131,274.0,0.0,0.0898950131233594,1.04638520070921e-17,1,0.9213885365350324,1,0.9213885365350324,1,0.9213885365350324
rice,global_topk,query_weighted_log_odds_ratio_log_tp,349,0.9250470435332612,0.0053718716680683,349.0,0.0,0.1145013123359579,1.04638520070921e-17,1,0.9220288657974264,1,0.9220288657974264,1,0.9220288657974264
rice,global_topk,query_weighted_precision,19,0.9288980950802844,0.0060778173258174,19.0,0.0,0.0062335958005249,0.0,7,0.9220283832550706,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,query_weighted_precision_log_tp,1,0.889779270564215,0.0064719034984806,1.0,0.0,0.0003280839895013,4.0874421902703523e-20,1,0.889779270564215,1,0.889779270564215,1,0.889779270564215
rice,global_topk,query_weighted_precision_sqrt_tp,2396,0.646748231590172,0.0119905862815737,2396.0,0.0,0.7860892388451444,0.0,2396,0.646748231590172,2396,0.646748231590172,2396,0.646748231590172
rice,global_topk,query_weighted_wracc,2396,0.885306756897419,0.0054287915967002,2396.0,0.0,0.7860892388451444,0.0,2396,0.885306756897419,2396,0.885306756897419,2396,0.885306756897419
rice,global_topk,robustness,65,0.7710315745724501,0.0085991152835264,65.0,0.0,0.0213254593175853,2.615963001773025e-18,51,0.7634434915521442,51,0.7634434915521442,40,0.7436856978628417
rice,global_topk,simplicity_prior,19,0.928904036690952,0.005940648860452,19.0,0.0,0.0062335958005249,0.0,7,0.9221654239709858,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,stability,65,0.7710315745724501,0.0085991152835264,65.0,0.0,0.0213254593175853,2.615963001773025e-18,51,0.7634434915521442,51,0.7634434915521442,40,0.7436856978628417
rice,global_topk,support,3048,0.3639398998330551,0.0,3048.0,0.0,1.0,0.0,2396,0.3626080670125616,2396,0.3626080670125616,2396,0.3626080670125616
rice,global_topk,supporter_opposer_ratio,19,0.9288980950802844,0.0060778173258174,19.0,0.0,0.0062335958005249,0.0,6,0.920292985813076,3,0.9103054323258608,1,0.8865832219364652
rice,global_topk,tn,3048,0.3639398998330551,0.0,3048.0,0.0,1.0,0.0,3048,0.3639398998330551,3048,0.3639398998330551,3048,0.3639398998330551
rice,global_topk,tp,2396,0.3639398998330551,0.0,2396.0,0.0,0.7860892388451444,0.0,2396,0.3639398998330551,2396,0.3639398998330551,2396,0.3639398998330551
rice,global_topk,wracc,2396,0.8850154888915946,0.0052657099336061,2396.0,0.0,0.7860892388451444,0.0,2396,0.8850154888915946,2396,0.8850154888915946,2396,0.8850154888915946
rice,global_topk,youdens_j,2396,0.8850154888915946,0.0052657099336061,2396.0,0.0,0.7860892388451444,0.0,2396,0.8850154888915946,2396,0.8850154888915946,2396,0.8850154888915946
rice,random_topk,random,1,0.5053640341867766,0.0065320670260557,1.0,0.0,0.0003280839895013,4.0874421902703523e-20,1,0.5053640341867766,1,0.5053640341867766,1,0.5053640341867766
sonar,global_topk,balanced_precision_proxy,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,chi_squared,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,delta_stability,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,description_volume,38,0.7498393926283298,0.0533084330436702,38.0,0.0,0.2289156626506024,2.09277040141842e-17,34,0.7481262622127912,1,0.7348949064572528,1,0.7348949064572528
sonar,global_topk,error_rate,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,fn,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,fp,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,g_test,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,gini_gain,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,information_gain,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,interval_tightness,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,lift,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,log_odds_ratio,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,log_odds_ratio_log_tp,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,matthews_correlation,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,precision,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,precision_log_tp,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,precision_sqrt_tp,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_binary_similarity,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_numeric_similarity,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_similarity,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_weighted_log_odds_ratio,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_weighted_log_odds_ratio_log_tp,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_weighted_precision,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_weighted_precision_log_tp,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_weighted_precision_sqrt_tp,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,query_weighted_wracc,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,1,0.3372105856114777,1,0.3372105856114777
sonar,global_topk,robustness,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,simplicity_prior,4,0.8428376592453466,0.0436265482934553,4.0,0.0,0.0240963855421685,2.615963001773025e-18,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,stability,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,support,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,supporter_opposer_ratio,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,tn,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,tp,1,0.8372877001603068,0.0376672507526776,1.0,0.0,0.0060240963855421,0.0,1,0.8372877001603068,1,0.8372877001603068,1,0.8372877001603068
sonar,global_topk,wracc,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
sonar,global_topk,youdens_j,166,0.34375,0.0,166.0,0.0,1.0,0.0,166,0.34375,166,0.34375,166,0.34375
