dataset,method,metric,k,macro_f1_mean,macro_f1_std,macro_f1_ci95,primary_f1_mean,primary_f1_std,primary_f1_ci95,elapsed_seconds_mean,runs,repeat_rows,source
spambase,decision_tree,imported_baseline,,0.9231879221640474,0.0077845446690193,0.0055683409028617,0.9231879221640474,0.0077845446690193,0.0055683409028617,0.3238999999999999,10,10,imported_baseline
spambase,fcalc_deterministic,imported_baseline,,0.8296381991262564,0.0110727115395476,0.0079203903622818,0.8296381991262564,0.0110727115395476,0.0079203903622818,38540.59790000001,10,10,imported_baseline
spambase,fcalc_randomized,imported_baseline,,0.7525517660168911,0.1311795017047288,0.0938336429446543,0.7525517660168911,0.1311795017047288,0.0938336429446543,1911.1537,10,10,imported_baseline
spambase,ips_knn,imported_baseline,,0.9165206410347316,0.010260652847417,0.0073395189275129,0.9165206410347316,0.010260652847417,0.0073395189275129,490.9198,10,10,imported_baseline
spambase,knn,imported_baseline,,0.9180137585244724,0.0108766473169663,0.0077801442108875,0.9180137585244724,0.0108766473169663,0.0077801442108875,2.4724,10,10,imported_baseline
spambase,logistic_regression,imported_baseline,,0.9228028125288794,0.0083478317708561,0.0059712642262638,0.9228028125288794,0.0083478317708561,0.0059712642262638,2.7448,10,10,imported_baseline
spambase,naive_bayes,imported_baseline,,0.8191003370492356,0.0099298837264197,0.0071029173914998,0.8191003370492356,0.0099298837264197,0.0071029173914998,0.1378,10,10,imported_baseline
spambase,random_forest,imported_baseline,,0.9520625468104268,0.0058122599134829,0.0041575514035027,0.9520625468104268,0.0058122599134829,0.0041575514035027,46.8164,10,10,imported_baseline
spambase,svm,imported_baseline,,0.9295859546120364,0.0076471347617317,0.0054700506059028,0.9295859546120364,0.0076471347617317,0.0054700506059028,2.0976000000000004,10,10,imported_baseline
spambase,xgboost,imported_baseline,,0.9537224548135088,0.0055789684910286,0.0039906763677528,0.9537224548135088,0.0055789684910286,0.0039906763677528,2.9468,10,10,imported_baseline
waveform,decision_tree,imported_baseline,,0.7593594045816239,0.0138821081860043,0.0099299720300556,0.7593594045816239,0.0138821081860043,0.0099299720300556,0.259,10,10,imported_baseline
waveform,fcalc_deterministic,imported_baseline,,0.7452883935700003,0.0151210902569857,0.0108162248344379,0.7452883935700003,0.0151210902569857,0.0108162248344379,26458.8788,10,10,imported_baseline
waveform,fcalc_randomized,imported_baseline,,0.7965391713768595,0.0423351398347384,0.0302826306217144,0.7965391713768595,0.0423351398347384,0.0302826306217144,1759.5961,10,10,imported_baseline
waveform,ips_knn,imported_baseline,,0.8408825164153428,0.0120161131909854,0.0085952123623963,0.8408825164153428,0.0120161131909854,0.0085952123623963,215.92890000000003,10,10,imported_baseline
waveform,knn,imported_baseline,,0.8516560893211247,0.0116645011035865,0.0083437017023065,0.8516560893211247,0.0116645011035865,0.0083437017023065,2.1201,10,10,imported_baseline
waveform,logistic_regression,imported_baseline,,0.8686019339843734,0.0111506415475032,0.0079761342585929,0.8686019339843734,0.0111506415475032,0.0079761342585929,0.2738,10,10,imported_baseline
waveform,naive_bayes,imported_baseline,,0.7987834501786653,0.0138082685530331,0.009877154008449,0.7987834501786653,0.0138082685530331,0.009877154008449,0.0297,10,10,imported_baseline
waveform,random_forest,imported_baseline,,0.8503016109167648,0.0094483347887863,0.0067584619660174,0.8503016109167648,0.0094483347887863,0.0067584619660174,68.72040000000001,10,10,imported_baseline
waveform,svm,imported_baseline,,0.8663862610659147,0.0103938244712655,0.0074347775497837,0.8663862610659147,0.0103938244712655,0.0074347775497837,0.9277,10,10,imported_baseline
waveform,xgboost,imported_baseline,,0.8535573965835402,0.0092803614598451,0.0066383094332874,0.8535573965835402,0.0092803614598451,0.0066383094332874,5.9896,10,10,imported_baseline
vehicle,decision_tree,imported_baseline,,0.7096738043782149,0.021582122739545,0.0154378479321298,0.7096738043782149,0.021582122739545,0.0154378479321298,0.1861999999999999,10,10,imported_baseline
vehicle,fcalc_deterministic,imported_baseline,,0.5197980573372212,0.0280452444033252,0.0200609654362052,0.5197980573372212,0.0280452444033252,0.0200609654362052,207.4281,10,10,imported_baseline
vehicle,fcalc_randomized,imported_baseline,,0.4848303357687258,0.0656669655472993,0.0469720537000795,0.4848303357687258,0.0656669655472993,0.0469720537000795,156.7563,10,10,imported_baseline
vehicle,ips_knn,imported_baseline,,0.7257597532704539,0.031345000326816,0.0224213046287284,0.7257597532704539,0.031345000326816,0.0224213046287284,48.581,10,10,imported_baseline
vehicle,knn,imported_baseline,,0.7282452174128269,0.0322436073309908,0.0230640846948327,0.7282452174128269,0.0322436073309908,0.0230640846948327,1.1651,10,10,imported_baseline
vehicle,logistic_regression,imported_baseline,,0.8062819626285869,0.0364684596347493,0.0260861519950814,0.8062819626285869,0.0364684596347493,0.0260861519950814,11.7535,10,10,imported_baseline
vehicle,naive_bayes,imported_baseline,,0.438923411278444,0.0550141782618217,0.0393520381830148,0.438923411278444,0.0550141782618217,0.0393520381830148,0.2147,10,10,imported_baseline
vehicle,random_forest,imported_baseline,,0.7588274819151719,0.0235388629167866,0.0168375182826091,0.7588274819151719,0.0235388629167866,0.0168375182826091,12.2056,10,10,imported_baseline
vehicle,svm,imported_baseline,,0.8353610412680925,0.0205303810493096,0.0146855295214859,0.8353610412680925,0.0205303810493096,0.0146855295214859,0.1999,10,10,imported_baseline
vehicle,xgboost,imported_baseline,,0.7824626608423606,0.0168851145269829,0.0120780441076137,0.7824626608423606,0.0168851145269829,0.0120780441076137,2.2088,10,10,imported_baseline
page_blocks,decision_tree,imported_baseline,,0.8157009325466926,0.0370642425894512,0.0265123198362266,0.8157009325466926,0.0370642425894512,0.0265123198362266,0.1934,10,10,imported_baseline
page_blocks,fcalc_deterministic,imported_baseline,,0.6114970730182407,0.0738696657842378,0.0528395042942082,0.6114970730182407,0.0738696657842378,0.0528395042942082,29213.4843,10,10,imported_baseline
page_blocks,fcalc_randomized,imported_baseline,,0.6276032596622452,0.0637530674141932,0.0456030285725215,0.6276032596622452,0.0637530674141932,0.0456030285725215,2515.0444,10,10,imported_baseline
page_blocks,ips_knn,imported_baseline,,0.8336370816134048,0.0255927999070858,0.0183067142139396,0.8336370816134048,0.0255927999070858,0.0183067142139396,130.3799,10,10,imported_baseline
page_blocks,knn,imported_baseline,,0.8399031059257261,0.0333282430598075,0.0238399324483323,0.8399031059257261,0.0333282430598075,0.0238399324483323,2.6488,10,10,imported_baseline
page_blocks,logistic_regression,imported_baseline,,0.8104879858406898,0.038558504671671,0.027581176272382,0.8104879858406898,0.038558504671671,0.027581176272382,9.3626,10,10,imported_baseline
page_blocks,naive_bayes,imported_baseline,,0.5609169149809979,0.0584969337538873,0.0418432782857681,0.5609169149809979,0.0584969337538873,0.0418432782857681,0.0281,10,10,imported_baseline
page_blocks,random_forest,imported_baseline,,0.8686017696251668,0.0194081513556058,0.0138827905339731,0.8686017696251668,0.0194081513556058,0.0138827905339731,34.701100000000004,10,10,imported_baseline
page_blocks,svm,imported_baseline,,0.772978731071227,0.0416861563967013,0.029818408091438,0.772978731071227,0.0416861563967013,0.029818408091438,0.3351,10,10,imported_baseline
page_blocks,xgboost,imported_baseline,,0.8704322042712962,0.0243014421921169,0.0173829967339559,0.8704322042712962,0.0243014421921169,0.0173829967339559,4.035,10,10,imported_baseline
glass,decision_tree,imported_baseline,,0.6204049775638987,0.0846739339199291,0.0605678751551125,0.6204049775638987,0.0846739339199291,0.0605678751551125,0.0800999999999999,10,10,imported_baseline
glass,fcalc_deterministic,imported_baseline,,0.4414538306857033,0.0849729614841524,0.0607817717268123,0.4414538306857033,0.0849729614841524,0.0607817717268123,2.4326,10,10,imported_baseline
glass,fcalc_randomized,imported_baseline,,0.4215461497469284,0.0990515725481086,0.0708523036816101,0.4215461497469284,0.0990515725481086,0.0708523036816101,11.767,10,10,imported_baseline
glass,ips_knn,imported_baseline,,0.6502486615291693,0.0825795508365357,0.0590697478419076,0.6502486615291693,0.0825795508365357,0.0590697478419076,4.1543,10,10,imported_baseline
glass,knn,imported_baseline,,0.6708398007101495,0.1131716787684651,0.0809525174208255,0.6708398007101495,0.1131716787684651,0.0809525174208255,0.4049999999999999,10,10,imported_baseline
glass,logistic_regression,imported_baseline,,0.5874967094437258,0.0602459058538863,0.0430943306332672,0.5874967094437258,0.0602459058538863,0.0430943306332672,2.6473000000000004,10,10,imported_baseline
glass,naive_bayes,imported_baseline,,0.4243765733476021,0.0820544799704977,0.0586941608673866,0.4243765733476021,0.0820544799704977,0.0586941608673866,0.0143,10,10,imported_baseline
glass,random_forest,imported_baseline,,0.7743256537043616,0.0761764013993996,0.0544895289037545,0.7743256537043616,0.0761764013993996,0.0544895289037545,3.8199,10,10,imported_baseline
glass,svm,imported_baseline,,0.6114160256649732,0.105537285590082,0.075491580961317,0.6114160256649732,0.105537285590082,0.075491580961317,0.0559999999999999,10,10,imported_baseline
glass,xgboost,imported_baseline,,0.7260515031882183,0.0807502134874346,0.057761209652555,0.7260515031882183,0.0807502134874346,0.057761209652555,0.3548,10,10,imported_baseline
image_segmentation,decision_tree,imported_baseline,,0.9485973570193078,0.0116210236843643,0.0083126019910068,0.9485973570193078,0.0116210236843643,0.0083126019910068,0.3089,10,10,imported_baseline
image_segmentation,fcalc_deterministic,imported_baseline,,0.8437376475067955,0.0190376137163261,0.0136177422902316,0.8437376475067955,0.0190376137163261,0.0136177422902316,2163.2417,10,10,imported_baseline
image_segmentation,fcalc_randomized,imported_baseline,,0.8447823276406309,0.0156726193938564,0.0112107376007632,0.8447823276406309,0.0156726193938564,0.0112107376007632,1113.3234,10,10,imported_baseline
image_segmentation,ips_knn,imported_baseline,,0.9493843056953112,0.0143121211497634,0.0102375634020199,0.9493843056953112,0.0143121211497634,0.0102375634020199,121.13579999999996,10,10,imported_baseline
image_segmentation,knn,imported_baseline,,0.9493843056953112,0.0143121211497634,0.0102375634020199,0.9493843056953112,0.0143121211497634,0.0102375634020199,1.9114,10,10,imported_baseline
image_segmentation,logistic_regression,imported_baseline,,0.9534703937622984,0.0043963653458373,0.0031447518152958,0.9534703937622984,0.0043963653458373,0.0031447518152958,51.9091,10,10,imported_baseline
image_segmentation,naive_bayes,imported_baseline,,0.7827320522195497,0.0136982778612468,0.009798476873941,0.7827320522195497,0.0136982778612468,0.009798476873941,0.0666,10,10,imported_baseline
image_segmentation,random_forest,imported_baseline,,0.9709429429220864,0.0064318011000954,0.0046007136791527,0.9709429429220864,0.0064318011000954,0.0046007136791527,23.3116,10,10,imported_baseline
image_segmentation,svm,imported_baseline,,0.9543299281593154,0.0084612880904611,0.0060524203493263,0.9543299281593154,0.0084612880904611,0.0060524203493263,0.305,10,10,imported_baseline
image_segmentation,xgboost,imported_baseline,,0.9768980193117272,0.0089030643140118,0.0063684260657941,0.9768980193117272,0.0089030643140118,0.0063684260657941,7.1197,10,10,imported_baseline
