dataset,classifier,repeat,split_seed,macro_f1,macro_f1_percent,cv_macro_f1,best_params,elapsed_seconds,status,error
spam,xgboost,6,2003,0.9537558308850452,95.37558308850453,0.9485924136200112,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",2.565,ok,
spam,xgboost,7,2004,0.9498366013071896,94.98366013071896,0.9494869882225516,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",2.911,ok,
spam,xgboost,8,2005,0.9611985646170164,96.11985646170164,0.9475973592342488,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",2.896,ok,
spam,xgboost,9,2006,0.9590775793121836,95.90775793121836,0.947787720098263,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",2.926,ok,
spam,xgboost,10,2007,0.9500788410367598,95.00788410367598,0.9469757241231272,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",2.901,ok,
spam,ips_knn,1,1998,0.9172291899664482,91.72291899664482,0.9130850233860583,"{""k"": 6}",489.016,ok,
spam,ips_knn,2,1999,0.9198692453017798,91.986924530178,0.9139667267308532,"{""k"": 9}",499.17,ok,
spam,ips_knn,3,2000,0.915112247033151,91.5112247033151,0.9142187784508666,"{""k"": 8}",500.165,ok,
spam,ips_knn,4,2001,0.918932589493259,91.8932589493259,0.9144653910574352,"{""k"": 8}",490.417,ok,
spam,ips_knn,5,2002,0.9232634575279708,92.3263457527971,0.9077054620775492,"{""k"": 7}",490.204,ok,
spam,ips_knn,6,2003,0.9113361280554512,91.13361280554513,0.915866655218684,"{""k"": 6}",488.017,ok,
spam,ips_knn,7,2004,0.9323550318250908,93.23550318250908,0.9093192881840116,"{""k"": 11}",489.883,ok,
spam,ips_knn,8,2005,0.9069331387189132,90.6933138718913,0.9110702784825292,"{""k"": 12}",487.703,ok,
